company_name,source_exchange,source_code,yahoo_symbol_guess,mapping_note,duplicate_row
OBAYASHI CORPORATION,XFRA,OBA0,OBA0.F,auto (exchange suffix rule),
KIKKOMAN CORPORATION,XFRA,KIK,KIK.F,auto (exchange suffix rule),
"Ajinomoto Co., Inc.",XFRA,AJI,AJI.F,auto (exchange suffix rule),
Kioxia Holdings Corporation,XFRA,KI50,KI50.F,auto (exchange suffix rule),
JAPAN TOBACCO INC.,XWBO,JAT,2914.T,manual override,
"NEXON Co., Ltd.",OTCM,NEXOY,NEXOY,auto (exchange suffix rule),
"IBIDEN CO.,LTD.",XFRA,IBI,IBI.F,auto (exchange suffix rule),
"Shin-Etsu Chemical Co., Ltd.",XFRA,SEH0,SEH0.F,auto (exchange suffix rule),
"Nomura Research Institute, Ltd.",OTCM,NURAF,NURAF,auto (exchange suffix rule),
"Shionogi & Co., Ltd.",XFRA,SH0,SH0.F,auto (exchange suffix rule),
"CHUGAI PHARMACEUTICAL CO., LTD.",OTCM,CHGCY,CHGCY,auto (exchange suffix rule),
TERUMO CORPORATION,XFRA,TUO0,TUO0.F,auto (exchange suffix rule),
"DAIICHI SANKYO COMPANY, LIMITED",XFRA,D4S,D4S.F,auto (exchange suffix rule),
OTSUKA CORPORATION,XFRA,OTK,OTK.F,auto (exchange suffix rule),
"The Yokohama Rubber Company, Limited",XFRA,YRB,YRB.F,auto (exchange suffix rule),
BRIDGESTONE CORPORATION,XFRA,BGT,BGT.F,auto (exchange suffix rule),
"Furukawa Electric Co., Ltd.",XFRA,FKA,FKA.F,auto (exchange suffix rule),
"Sumitomo Electric Industries, Ltd.",XFRA,SMO,SMO.F,auto (exchange suffix rule),
Fujikura Ltd.,OTCM,FJIKY,FJIKY,auto (exchange suffix rule),
"Recruit Holdings Co.,Ltd.",XFRA,1RHA,1RHA.F,auto (exchange suffix rule),
DISCO CORPORATION,XFRA,D650,D650.F,auto (exchange suffix rule),
SAN MIGUEL CORPORATION,XPHS,SMC,SMC.PS,"auto (exchange suffix rule) - Yahoo coverage of Philippine Stock Exchange is inconsistent, verify",
KOMATSU LTD.,XFRA,KOM1,KOM1.F,auto (exchange suffix rule),
EBARA CORPORATION,XFRA,EAR,EAR.F,auto (exchange suffix rule),
"DAIKIN INDUSTRIES,LTD.",XFRA,DKIA,DKIA.F,auto (exchange suffix rule),
Mitsubishi Electric Corporation,OTCM,MIELY,MIELY,auto (exchange suffix rule),
"FUJI ELECTRIC CO., LTD.",XFRA,FJE,FJE.F,auto (exchange suffix rule),
YASKAWA Electric Corporation,XFRA,YEC0,YEC0.F,auto (exchange suffix rule),
NINE ENTERTAINMENT CO. HOLDINGS LIMITED,XASX,NEC,NEC.AX,auto (exchange suffix rule),
Fujitsu Limited,XFRA,FUJ1,FUJ1.F,auto (exchange suffix rule),
Renesas Electronics Corporation,XFRA,NEN0,NEN0.F,auto (exchange suffix rule),
Panasonic Holdings Corporation,XFRA,MAT,MAT.F,auto (exchange suffix rule),
Sony Group Corporation,XWBO,SON1,6758.T,manual override,
TDK CORPORATION,XFRA,TDK,TDK.F,auto (exchange suffix rule),
ADVANTEST CORPORATION,XFRA,VANA,VANA.F,auto (exchange suffix rule),
KEYENCE CORPORATION,XFRA,KEE,KEE.F,auto (exchange suffix rule),
DENSO CORPORATION,XFRA,DNOA,DNOA.F,auto (exchange suffix rule),
Lasertec Corporation,XFRA,6K8,6K8.F,auto (exchange suffix rule),
FANUC CORPORATION,XFRA,FUCA,FUCA.F,auto (exchange suffix rule),
"TAIYO YUDEN CO., LTD.",XFRA,TYC1,TYC1.F,auto (exchange suffix rule),
"Murata Manufacturing Co., Ltd.",XMEX,6981N,6981.T,manual override,
NITTO DENKO CORPORATION,OTCM,NDEKF,NDEKF,auto (exchange suffix rule),
"Mitsubishi Heavy Industries, Ltd.",OTCM,MHVYF,MHVYF,auto (exchange suffix rule),
IHI Corporation,XFRA,IWJ,IWJ.F,auto (exchange suffix rule),
SUZUKI MOTOR CORPORATION,XFRA,SUK0,SUK0.F,auto (exchange suffix rule),
"RYOHIN KEIKAKU CO., LTD.",XFRA,3RKU,3RKU.F,auto (exchange suffix rule),
"PAR PACIFIC HOLDINGS, INC.",XNYS,PARR,PARR,auto (exchange suffix rule),
OLYMPUS CORPORATION,XFRA,OLY1,OLY1.F,auto (exchange suffix rule),
"SCREEN Holdings Co.,Ltd.",XFRA,DAO,DAO.F,auto (exchange suffix rule),
HOYA CORPORATION,XFRA,HYB,HYB.F,auto (exchange suffix rule),
Bandai Namco Holdings Inc.,XFRA,N9B,N9B.F,auto (exchange suffix rule),
"Nintendo Co., Ltd.",OTCM,NTDOF,NTDOF,auto (exchange suffix rule),
TOYOTA TSUSHO CORPORATION,XFRA,9TO,9TO.F,auto (exchange suffix rule),
"MITSUI & CO., LTD.",XFRA,MTS1,MTS1.F,auto (exchange suffix rule),
Tokyo Electron Limited,OTCM,TOELF,TOELF,auto (exchange suffix rule),
Mitsubishi Corporation,XFRA,MBI,MBI.F,auto (exchange suffix rule),
"Japan Exchange Group, Inc.",XFRA,OSKU,OSKU.F,auto (exchange suffix rule),
"NIPPON EXPRESS HOLDINGS, INC.",XFRA,L3W,L3W.F,auto (exchange suffix rule),
KDDI CORPORATION,XMEX,9433N,9433.T,manual override,
KONAMI GROUP CORPORATION,XMEX,9766N,9766.T,manual override,
"FAST RETAILING CO., LTD.",XMEX,9983N,9983.T,manual override,
"AGILENT TECHNOLOGIES, INC.",XNYS,A,A,auto (exchange suffix rule),
AIRTEL AFRICA PLC,XMEX,AAFN,AAF.L,manual override,
APPLE INC.,XNAS,AAPL,AAPL,auto (exchange suffix rule),
Abb Ltd,XSWX,ABBN,ABBN.SW,auto (exchange suffix rule),
ABBVIE INC.,XNYS,ABBV,ABBV,auto (exchange suffix rule),
Anheuser-Busch Inbev SA,XBRU,ABI,ABI.BR,auto (exchange suffix rule),
ACCENTURE PUBLIC LIMITED COMPANY,XNYS,ACN,ACN,auto (exchange suffix rule),
ACS Actividades de Construccion y Servicios SA,BMEX,ACS,ACS.MC,auto (exchange suffix rule),
"ANALOG DEVICES, INC.",XNAS,ADI,ADI,auto (exchange suffix rule),
ADOBE INC.,XNAS,ADBE,ADBE,auto (exchange suffix rule),
Addtech AB,XSTO,ADDT B,ADDT-B.ST,manual override,
"ANALOG DEVICES, INC.",XNAS,ADI,ADI,auto (exchange suffix rule),yes
"AUTOMATIC DATA PROCESSING, INC.",XNAS,ADP,ADP,auto (exchange suffix rule),
Adidas AG,XFRA,ADS,ADS.F,auto (exchange suffix rule),
"AUTODESK, INC.",XNAS,ADSK,ADSK,auto (exchange suffix rule),
Adyen NV,XAMS,ADYEN,ADYEN.AS,auto (exchange suffix rule),
Airbus SE,XETR,AIR,AIR.DE,auto (exchange suffix rule),
ARTHUR J. GALLAGHER & CO.,XNYS,AJG,AJG,auto (exchange suffix rule),
"ALPS ALPINE CO., LTD.",XFRA,ALE,ALE.F,auto (exchange suffix rule),
Alfa Laval AB,XSTO,ALFA,ALFA.ST,auto (exchange suffix rule),
"ALIGN TECHNOLOGY, INC.",XNAS,ALGN,ALGN,auto (exchange suffix rule),
ALLEGION PUBLIC LIMITED COMPANY,XNYS,ALLE,ALLE,auto (exchange suffix rule),
PALAMINA CORP.,XTSX,PA,PA.V,auto (exchange suffix rule),
"APPLIED MATERIALS, INC.",XNAS,AMAT,AMAT,auto (exchange suffix rule),
"ADVANCED MICRO DEVICES, INC.",XNAS,AMD,AMD,auto (exchange suffix rule),
"AMETEK, INC.",XNYS,AME,AME,auto (exchange suffix rule),
AMGEN INC.,XNAS,AMGN,AMGN,auto (exchange suffix rule),
ams-OSRAM AG,XSWX,AMS,AMS.SW,auto (exchange suffix rule),
"AMAZON.COM, INC.",XNAS,AMZN,AMZN,auto (exchange suffix rule),
Andritz AG,XWBO,ANDR,ANDR.VI,auto (exchange suffix rule),
"ARISTA NETWORKS, INC.",XNYS,ANET,ANET,auto (exchange suffix rule),
AON PUBLIC LIMITED COMPANY,XNYS,AON,AON,auto (exchange suffix rule),
A. O. SMITH CORPORATION,XNYS,AOS,AOS,auto (exchange suffix rule),
APA CORPORATION,XNAS,APA,APA,auto (exchange suffix rule),
AMPHENOL CORPORATION,XNYS,APH,APH,auto (exchange suffix rule),
APPLOVIN CORPORATION,XNAS,APP,APP,auto (exchange suffix rule),
argenx SE,XNAS,ARGX,ARGX,auto (exchange suffix rule),
ASM International NV,XAMS,ASM,ASM.AS,auto (exchange suffix rule),
ASML Holding NV,XAMS,ASML,ASML.AS,auto (exchange suffix rule),
Assa Abloy AB,XSTO,ASSA B,ASSA-B.ST,manual override,
Atlas Copco AB,XSTO,ATCO A,ATCO-A.ST,manual override,
Broadcom Yld Shars Purpose ETF,NEOE,YAVG,YAVG.NE,auto (exchange suffix rule),
